goalie,season,goals,shots,avg_goalie_goals,svs%,svs%_average,diff,svs%_rank,good_ranking,rank_gain,games_played
Andrew Hammond_2013,2013,0,11,0.42,1.0,0.9618,0.0382,1,1,0,1
Michael Hutchinson_2013,2013,5,88,7.84,0.9432,0.9109,0.0323,2,2,0,3
John Curry_2013,2013,4,57,5.44,0.9298,0.9046,0.0252,11,3,8,2
Martin Jones_2013,2013,33,507,44.68,0.9349,0.9119,0.023,5,4,1,21
Niklas Svedberg_2013,2013,2,35,2.79,0.9429,0.9203,0.0225,3,5,-2,1
John Gibson_2013,2013,13,198,17.29,0.9343,0.9127,0.0216,7,6,1,7
Cam Talbot_2013,2013,34,572,45.05,0.9406,0.9212,0.0193,4,7,-3,23
Kristers Gudlevskis_2013,2013,4,58,5.05,0.931,0.9129,0.0181,9,8,1,3
Chad Johnson_2013,2013,53,708,64.24,0.9251,0.9093,0.0159,18,9,9,27
Dustin Tokarski_2013,2013,18,248,21.45,0.9274,0.9135,0.0139,12,10,2,8
Michal Neuvirth_2013,2013,41,515,47.28,0.9204,0.9082,0.0122,28,11,17,15
Petr Mrazek_2013,2013,13,178,14.86,0.927,0.9165,0.0105,13,12,1,9
Ben Bishop_2013,2013,133,1759,151.0,0.9244,0.9142,0.0102,19,13,6,63
Cory Schneider_2013,2013,87,1105,98.0,0.9213,0.9113,0.01,25,14,11,45
Ben Scrivens_2013,2013,94,1205,105.47,0.922,0.9125,0.0095,23,15,8,39
Semyon Varlamov_2013,2013,166,2243,186.93,0.926,0.9167,0.0093,14,16,-2,70
Henrik Lundqvist_2013,2013,194,2542,217.23,0.9237,0.9145,0.0091,20,17,3,88
Josh Harding_2013,2013,45,689,50.95,0.9347,0.9261,0.0086,6,18,-12,29
Anton Khudobin_2013,2013,80,1075,89.22,0.9256,0.917,0.0086,16,19,-3,36
Tuukka Rask_2013,2013,139,1987,155.18,0.93,0.9219,0.0081,10,20,-10,70
Carey Price_2013,2013,162,2184,179.07,0.9258,0.918,0.0078,15,21,-6,71
Alex Stalock_2013,2013,43,627,47.78,0.9314,0.9238,0.0076,8,22,-14,27
Jonathan Bernier_2013,2013,138,1786,151.39,0.9227,0.9152,0.0075,21,23,-2,55
Drew MacIntyre_2013,2013,4,51,4.38,0.9216,0.9141,0.0074,24,24,0,2
Philipp Grubauer_2013,2013,35,469,38.08,0.9254,0.9188,0.0066,17,25,-8,17
Kari Lehtonen_2013,2013,172,2052,183.94,0.9162,0.9104,0.0058,36,26,10,71
Frederik Andersen_2013,2013,79,972,84.36,0.9187,0.9132,0.0055,31,27,4,35
Al Montoya_2013,2013,59,736,62.71,0.9198,0.9148,0.005,30,28,2,28
Justin Peters_2013,2013,51,626,53.75,0.9185,0.9141,0.0044,34,29,5,21
Jonathan Quick_2013,2013,168,1956,176.25,0.9141,0.9099,0.0042,43,30,13,75
Richard Bachman_2013,2013,7,83,7.3,0.9157,0.912,0.0036,37,31,6,3
Mike Smith_2013,2013,159,1870,164.92,0.915,0.9118,0.0032,41,32,9,62
Jaroslav Halak_2013,2013,110,1384,114.16,0.9205,0.9175,0.003,27,33,-6,52
Jean-Sebastien Giguere_2013,2013,53,608,54.21,0.9128,0.9108,0.002,45,34,11,22
Brian Elliott_2013,2013,53,681,54.31,0.9222,0.9202,0.0019,22,35,-13,31
Roberto Luongo_2013,2013,129,1586,130.71,0.9187,0.9176,0.0011,32,36,-4,56
Thomas Greiss_2013,2013,50,625,50.49,0.92,0.9192,0.0008,29,37,-8,25
Jimmy Howard_2013,2013,138,1566,137.28,0.9119,0.9123,-0.0005,48,38,10,54
Sergei Bobrovsky_2013,2013,151,1915,149.52,0.9211,0.9219,-0.0008,26,39,-13,64
Ryan Miller_2013,2013,173,2069,171.33,0.9164,0.9172,-0.0008,35,40,-5,65
Jonas Hiller_2013,2013,128,1432,126.84,0.9106,0.9114,-0.0008,53,41,12,56
Steve Mason_2013,2013,153,1881,151.15,0.9187,0.9196,-0.001,33,42,-9,66
Corey Crawford_2013,2013,179,2121,176.51,0.9156,0.9168,-0.0012,38,43,-5,78
Jeff Zatkoff_2013,2013,51,582,49.94,0.9124,0.9142,-0.0018,46,44,2,20
Braden Holtby_2013,2013,126,1475,123.29,0.9146,0.9164,-0.0018,42,45,-3,48
Marc-Andre Fleury_2013,2013,182,2150,177.98,0.9153,0.9172,-0.0019,40,46,-6,77
Jhonas Enroth_2013,2013,73,833,70.83,0.9124,0.915,-0.0026,47,47,0,28
Karri Ramo_2013,2013,97,1090,93.58,0.911,0.9141,-0.0031,50,48,2,40
Evgeni Nabokov_2013,2013,103,1085,99.57,0.9051,0.9082,-0.0032,64,49,15,40
Viktor Fasth_2013,2013,32,339,30.86,0.9056,0.909,-0.0034,62,50,12,12
Robin Lehner_2013,2013,99,1141,95.14,0.9132,0.9166,-0.0034,44,51,-7,36
James Reimer_2013,2013,98,1094,93.34,0.9104,0.9147,-0.0043,54,52,2,36
Tim Thomas_2013,2013,128,1391,120.71,0.908,0.9132,-0.0052,58,53,5,49
Eddie Lack_2013,2013,93,1052,87.0,0.9116,0.9173,-0.0057,49,54,-5,41
Ondrej Pavelec_2013,2013,162,1643,152.2,0.9014,0.9074,-0.006,69,55,14,57
Darcy Kuemper_2013,2013,70,828,64.99,0.9155,0.9215,-0.006,39,56,-17,32
Nathan Lieuwen_2013,2013,18,191,16.66,0.9058,0.9128,-0.007,61,57,4,7
Craig Anderson_2013,2013,150,1680,136.82,0.9107,0.9186,-0.0078,51,58,-7,53
Peter Budaj_2013,2013,59,623,53.83,0.9053,0.9136,-0.0083,63,59,4,25
Matt Hackett_2013,2013,22,239,19.83,0.9079,0.917,-0.0091,59,60,-1,8
Antti Niemi_2013,2013,167,1869,149.88,0.9106,0.9198,-0.0092,52,61,-9,70
Jonas Gustavsson_2013,2013,74,806,66.41,0.9082,0.9176,-0.0094,57,62,-5,29
Ilya Bryzgalov_2013,2013,102,1073,89.53,0.9049,0.9166,-0.0116,65,63,2,41
Ray Emery_2013,2013,79,800,69.56,0.9012,0.9131,-0.0118,70,64,6,31
Carter Hutton_2013,2013,91,1006,78.62,0.9095,0.9219,-0.0123,55,65,-10,40
Anders Nilsson_2013,2013,57,548,49.36,0.896,0.9099,-0.0139,76,66,10,19
Martin Brodeur_2013,2013,96,970,82.39,0.901,0.9151,-0.014,71,67,4,39
Antti Raanta_2013,2013,63,609,54.11,0.8966,0.9111,-0.0146,74,68,6,25
Niklas Backstrom_2013,2013,54,545,45.87,0.9009,0.9158,-0.0149,72,69,3,21
Scott Clemmensen_2013,2013,47,454,40.09,0.8965,0.9117,-0.0152,75,70,5,17
Cam Ward_2013,2013,83,823,70.3,0.8991,0.9146,-0.0154,73,71,2,30
Curtis McElhinney_2013,2013,64,703,52.82,0.909,0.9249,-0.0159,56,72,-16,27
Marek Mazanec_2013,2013,64,650,52.28,0.9015,0.9196,-0.018,68,73,-5,25
Pekka Rinne_2013,2013,63,644,49.57,0.9022,0.923,-0.0209,67,74,-7,24
Devan Dubnyk_2013,2013,103,945,82.88,0.891,0.9123,-0.0213,80,75,5,34
Anders Lindback_2013,2013,76,696,60.53,0.8908,0.913,-0.0222,81,76,5,27
Reto Berra_2013,2013,88,820,69.47,0.8927,0.9153,-0.0226,77,77,0,31
Joey MacDonald_2013,2013,29,264,22.84,0.8902,0.9135,-0.0233,82,78,4,11
