goalie,season,goals,shots,avg_goalie_goals,svs%,svs%_average,diff,svs%_rank,good_ranking,rank_gain,games_played
Chad Johnson_2013,2013,53,708,64.24,0.9251,0.9093,0.0159,18,9,9,27
Ben Bishop_2013,2013,133,1759,151.0,0.9244,0.9142,0.0102,19,13,6,63
Cory Schneider_2013,2013,87,1105,98.0,0.9213,0.9113,0.01,25,14,11,45
Ben Scrivens_2013,2013,94,1205,105.47,0.922,0.9125,0.0095,23,15,8,39
Semyon Varlamov_2013,2013,166,2243,186.93,0.926,0.9167,0.0093,14,16,-2,70
Henrik Lundqvist_2013,2013,194,2542,217.23,0.9237,0.9145,0.0091,20,17,3,88
Josh Harding_2013,2013,45,689,50.95,0.9347,0.9261,0.0086,6,18,-12,29
Anton Khudobin_2013,2013,80,1075,89.22,0.9256,0.917,0.0086,16,19,-3,36
Tuukka Rask_2013,2013,139,1987,155.18,0.93,0.9219,0.0081,10,20,-10,70
Carey Price_2013,2013,162,2184,179.07,0.9258,0.918,0.0078,15,21,-6,71
Alex Stalock_2013,2013,43,627,47.78,0.9314,0.9238,0.0076,8,22,-14,27
Jonathan Bernier_2013,2013,138,1786,151.39,0.9227,0.9152,0.0075,21,23,-2,55
Kari Lehtonen_2013,2013,172,2052,183.94,0.9162,0.9104,0.0058,36,26,10,71
Frederik Andersen_2013,2013,79,972,84.36,0.9187,0.9132,0.0055,31,27,4,35
Al Montoya_2013,2013,59,736,62.71,0.9198,0.9148,0.005,30,28,2,28
Jonathan Quick_2013,2013,168,1956,176.25,0.9141,0.9099,0.0042,43,30,13,75
Mike Smith_2013,2013,159,1870,164.92,0.915,0.9118,0.0032,41,32,9,62
Jaroslav Halak_2013,2013,110,1384,114.16,0.9205,0.9175,0.003,27,33,-6,52
Brian Elliott_2013,2013,53,681,54.31,0.9222,0.9202,0.0019,22,35,-13,31
Roberto Luongo_2013,2013,129,1586,130.71,0.9187,0.9176,0.0011,32,36,-4,56
Thomas Greiss_2013,2013,50,625,50.49,0.92,0.9192,0.0008,29,37,-8,25
Jimmy Howard_2013,2013,138,1566,137.28,0.9119,0.9123,-0.0005,48,38,10,54
Sergei Bobrovsky_2013,2013,151,1915,149.52,0.9211,0.9219,-0.0008,26,39,-13,64
Ryan Miller_2013,2013,173,2069,171.33,0.9164,0.9172,-0.0008,35,40,-5,65
Jonas Hiller_2013,2013,128,1432,126.84,0.9106,0.9114,-0.0008,53,41,12,56
Steve Mason_2013,2013,153,1881,151.15,0.9187,0.9196,-0.001,33,42,-9,66
Corey Crawford_2013,2013,179,2121,176.51,0.9156,0.9168,-0.0012,38,43,-5,78
Braden Holtby_2013,2013,126,1475,123.29,0.9146,0.9164,-0.0018,42,45,-3,48
Marc-Andre Fleury_2013,2013,182,2150,177.98,0.9153,0.9172,-0.0019,40,46,-6,77
Jhonas Enroth_2013,2013,73,833,70.83,0.9124,0.915,-0.0026,47,47,0,28
Karri Ramo_2013,2013,97,1090,93.58,0.911,0.9141,-0.0031,50,48,2,40
Evgeni Nabokov_2013,2013,103,1085,99.57,0.9051,0.9082,-0.0032,64,49,15,40
Robin Lehner_2013,2013,99,1141,95.14,0.9132,0.9166,-0.0034,44,51,-7,36
James Reimer_2013,2013,98,1094,93.34,0.9104,0.9147,-0.0043,54,52,2,36
Tim Thomas_2013,2013,128,1391,120.71,0.908,0.9132,-0.0052,58,53,5,49
Eddie Lack_2013,2013,93,1052,87.0,0.9116,0.9173,-0.0057,49,54,-5,41
Ondrej Pavelec_2013,2013,162,1643,152.2,0.9014,0.9074,-0.006,69,55,14,57
Darcy Kuemper_2013,2013,70,828,64.99,0.9155,0.9215,-0.006,39,56,-17,32
Craig Anderson_2013,2013,150,1680,136.82,0.9107,0.9186,-0.0078,51,58,-7,53
Peter Budaj_2013,2013,59,623,53.83,0.9053,0.9136,-0.0083,63,59,4,25
Antti Niemi_2013,2013,167,1869,149.88,0.9106,0.9198,-0.0092,52,61,-9,70
Jonas Gustavsson_2013,2013,74,806,66.41,0.9082,0.9176,-0.0094,57,62,-5,29
Ilya Bryzgalov_2013,2013,102,1073,89.53,0.9049,0.9166,-0.0116,65,63,2,41
Ray Emery_2013,2013,79,800,69.56,0.9012,0.9131,-0.0118,70,64,6,31
Carter Hutton_2013,2013,91,1006,78.62,0.9095,0.9219,-0.0123,55,65,-10,40
Martin Brodeur_2013,2013,96,970,82.39,0.901,0.9151,-0.014,71,67,4,39
Antti Raanta_2013,2013,63,609,54.11,0.8966,0.9111,-0.0146,74,68,6,25
Cam Ward_2013,2013,83,823,70.3,0.8991,0.9146,-0.0154,73,71,2,30
Curtis McElhinney_2013,2013,64,703,52.82,0.909,0.9249,-0.0159,56,72,-16,27
Marek Mazanec_2013,2013,64,650,52.28,0.9015,0.9196,-0.018,68,73,-5,25
Pekka Rinne_2013,2013,63,644,49.57,0.9022,0.923,-0.0209,67,74,-7,24
Devan Dubnyk_2013,2013,103,945,82.88,0.891,0.9123,-0.0213,80,75,5,34
Anders Lindback_2013,2013,76,696,60.53,0.8908,0.913,-0.0222,81,76,5,27
Reto Berra_2013,2013,88,820,69.47,0.8927,0.9153,-0.0226,77,77,0,31
Kevin Poulin_2013,2013,89,820,67.87,0.8915,0.9172,-0.0258,78,81,-3,28
Andrew Hammond_2014,2014,49,788,62.14,0.9378,0.9211,0.0167,8,10,-2,26
Carey Price_2014,2014,158,2305,192.63,0.9315,0.9164,0.015,11,12,-1,78
Cory Schneider_2014,2014,147,1979,175.34,0.9257,0.9114,0.0143,17,13,4,69
Steve Mason_2014,2014,108,1490,128.6,0.9275,0.9137,0.0138,13,14,-1,51
Eddie Lack_2014,2014,104,1288,120.36,0.9193,0.9066,0.0127,26,15,11,45
Semyon Varlamov_2014,2014,141,1791,163.24,0.9213,0.9089,0.0124,22,16,6,57
Corey Crawford_2014,2014,173,2277,198.63,0.924,0.9128,0.0113,19,17,2,77
Braden Holtby_2014,2014,180,2454,206.22,0.9267,0.916,0.0107,14,18,-4,86
Marc-Andre Fleury_2014,2014,157,1980,178.11,0.9207,0.91,0.0107,24,19,5,69
Ondrej Pavelec_2014,2014,123,1490,136.25,0.9174,0.9086,0.0089,33,21,12,54
Devan Dubnyk_2014,2014,139,1885,154.81,0.9263,0.9179,0.0084,15,22,-7,68
Henrik Lundqvist_2014,2014,144,1898,158.46,0.9241,0.9165,0.0076,18,24,-6,65
Cam Talbot_2014,2014,77,1037,84.45,0.9257,0.9186,0.0072,16,25,-9,36
Jaroslav Halak_2014,2014,160,1887,172.71,0.9152,0.9085,0.0067,37,26,11,66
